domain,model,D,V,K,S,peak,shape,acc_1,acc_2,acc_3,acc_4,shape_pred,shape_match
legal,claude_sonnet_4_6,0.25,0.7333333333333332,0.8000000000000002,0.2666666666666666,1,decreasing,0.8783333333333333,0.777,0.7243333333333334,0.7203333333333334,decreasing,True
legal,gpt_4o,0.25,0.7333333333333332,0.8000000000000002,0.2666666666666666,1,decreasing,0.5636666666666666,0.44,0.3423333333333333,0.238,decreasing,True
logic,claude_sonnet_4_6,0.2333333333333333,0.7166666666666666,0.5,0.3166666666666666,2,inverted_U,0.18,0.22266666666666668,0.20333333333333334,0.19666666666666666,inverted_U,True
logic,gpt_4o,0.2333333333333333,0.7166666666666666,0.5,0.3166666666666666,2,inverted_U,0.21360544217687075,0.38571428571428573,0.248,,inverted_U,True
long_context,claude_sonnet_4_6,0.35,0.7166666666666666,0.1,0.4,2,inverted_U,0.03325942350332594,0.1973392461197339,0.07427937915742794,0.015521064301552107,inverted_U,True
long_context,gpt_4o,0.35,0.7166666666666666,0.1,0.4,2,inverted_U,0.007760532150776054,0.028824833702882482,0.0022172949002217295,0.009977827050997782,inverted_U,True
medical,claude_sonnet_4_6,0.15,0.7166666666666666,0.8833333333333333,0.2833333333333334,4,increasing,,0.1902,0.2292,0.2502,decreasing,False
medical,gpt_4o,0.15,0.7166666666666666,0.8833333333333333,0.2833333333333334,1,flat,0.285,0.2582,0.2652,0.2582,decreasing,False
