tau,exact_match,mae,n
0.3,0.625,0.625,8
0.32,0.625,0.625,8
0.34,0.625,0.625,8
0.36000000000000004,0.625,0.625,8
0.38000000000000006,0.625,0.625,8
0.4000000000000001,0.625,0.625,8
0.4200000000000001,0.625,0.625,8
0.4400000000000001,0.625,0.625,8
0.46000000000000013,0.625,0.625,8
0.48000000000000015,0.625,0.625,8
0.5000000000000002,0.875,0.375,8
0.5200000000000002,0.875,0.375,8
0.5400000000000003,0.875,0.375,8
0.5600000000000003,0.875,0.375,8
0.5800000000000003,0.875,0.375,8
0.6000000000000003,0.875,0.375,8
0.6200000000000003,0.875,0.375,8
0.6400000000000003,0.875,0.375,8
0.6600000000000004,0.875,0.375,8
0.6800000000000004,0.875,0.375,8
0.7000000000000004,0.875,0.375,8
0.7200000000000004,0.875,0.375,8
0.7400000000000004,0.875,0.375,8
0.7600000000000005,0.875,0.375,8
0.7800000000000005,0.875,0.375,8
0.8000000000000005,0.625,0.625,8
0.8200000000000005,0.625,0.625,8
0.8400000000000005,0.625,0.625,8
0.8600000000000005,0.625,0.625,8
0.8800000000000006,0.625,0.625,8
0.9000000000000006,0.5,0.625,8
0.9200000000000006,0.5,0.625,8
0.9400000000000006,0.5,0.625,8
