name,slope_K,slope_SE,p,n
preserve_N=2,0.26336288766182914,0.7493221594487437,0.7252371483099791,114
recover_N=2,0.031254567535757186,0.5202106656123011,0.9520914431182008,236
preserve_N=4,0.5593872643003828,0.8515242827218146,0.5112293879146976,107
recover_N=4,0.3502730004903025,0.6431306154966385,0.586002911694836,212
