domain,model,n_paired,friedman_stat,friedman_p
medical,gpt_4o,5000,16.767900661469767,0.0007888213303318758
legal,gpt_4o,3000,856.0186199342837,3.0662432246089205e-185
legal,claude_sonnet_4_6,3000,515.168037602841,2.4628451065659832e-111
logic,claude_sonnet_4_6,1500,17.991440798857596,0.0004416411130905238
long_context,gpt_4o,902,33.72413793100377,2.2654553780487896e-07
long_context,claude_sonnet_4_6,902,297.5264750378207,3.412731336041991e-64
